scenario,strategy,runs,avg_snr_db_mean,avg_snr_db_std,avg_snr_db_ci95,min_snr_db_mean,min_snr_db_std,min_snr_db_ci95,jam_snr_db_mean,jam_snr_db_std,jam_snr_db_ci95,clean_snr_db_mean,clean_snr_db_std,clean_snr_db_ci95,avg_sinr_db_mean,avg_sinr_db_std,avg_sinr_db_ci95,avg_ber_mean,avg_ber_std,avg_ber_ci95,avg_per_mean,avg_per_std,avg_per_ci95,avg_throughput_kbps_mean,avg_throughput_kbps_std,avg_throughput_kbps_ci95,avg_throughput_mbps_mean,avg_throughput_mbps_std,avg_throughput_mbps_ci95,avg_spectral_efficiency_bps_hz_mean,avg_spectral_efficiency_bps_hz_std,avg_spectral_efficiency_bps_hz_ci95,avg_jsr_db_mean,avg_jsr_db_std,avg_jsr_db_ci95,anti_jam_gain_db_mean,anti_jam_gain_db_std,anti_jam_gain_db_ci95,thr_improvement_ratio_mean,thr_improvement_ratio_std,thr_improvement_ratio_ci95,decision_count_mean,decision_count_std,decision_count_ci95,action_change_count_mean,action_change_count_std,action_change_count_ci95,final_comm_channel_idx_mean,final_comm_channel_idx_std,final_comm_channel_idx_ci95,final_coding_rate_mean,final_coding_rate_std,final_coding_rate_ci95,final_spreading_factor_mean,final_spreading_factor_std,final_spreading_factor_ci95,final_interleaving_depth_mean,final_interleaving_depth_std,final_interleaving_depth_ci95,final_power_gain_db_mean,final_power_gain_db_std,final_power_gain_db_ci95,final_sync_threshold_db_mean,final_sync_threshold_db_std,final_sync_threshold_db_ci95,final_bandwidth_scale_mean,final_bandwidth_scale_std,final_bandwidth_scale_ci95,final_route_diversity_mean,final_route_diversity_std,final_route_diversity_ci95,overlap_ratio_mean,overlap_ratio_std,overlap_ratio_ci95,post_jam_overlap_ratio_mean,post_jam_overlap_ratio_std,post_jam_overlap_ratio_ci95,available_channel_ratio_mean,available_channel_ratio_std,available_channel_ratio_ci95,task_progress_mean,task_progress_std,task_progress_ci95,emergency_score_mean,emergency_score_std,emergency_score_ci95,response_latency_s_mean,response_latency_s_std,response_latency_s_ci95,response_latency_ms_mean,response_latency_ms_std,response_latency_ms_ci95,recovery_time_s_mean,recovery_time_s_std,recovery_time_s_ci95,completion_time_s_mean,completion_time_s_std,completion_time_s_ci95,hop_success_rate_pct_mean,hop_success_rate_pct_std,hop_success_rate_pct_ci95,task_completed_rate,hop_success_rate
基站退服,受干扰无抗扰,50,12.705974000000001,0.0484488192396294,0.0134293275409307,6.9444799999999995,0.30871142591390416,0.08557044153584811,9.011056,0.052001075970029745,0.014413962871382704,24.021684,0.0865641731047326,0.02399436461358373,11.575208,0.0484361175747425,0.013425806819048137,5.42936401069437e-05,6.075846436336299e-06,1.684138708899954e-06,0.15386126609973563,0.011152979864545722,0.0030914482955216624,232.457206,2.467609773867359,0.6839865329341346,0.23246200000000003,0.0024702218358615777,0.0006847105595797393,0.116234,0.001233645667383086,0.0003419491330592898,15.0,0.0,0.0,5.761494,0.30336076617298624,0.08408731432349115,351.9116,80.0933901667807,22.200755091539023,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7537999999999999,1.1214946133455537e-16,3.1086244689504386e-17,1.0,0.0,0.0,0.537946,0.004740843376274662,0.001314094739963599,1.0,0.0,0.0,59.678796000000006,0.386562436259048,0.10714964065206002,,,,,,,,,,1.2312,0.0531704997232143,0.014738110598038012,,,,1.0,
基站退服,无干扰基线,50,25.201472,0.031173707131596194,0.00864091076533024,23.6434,0.20074402423311646,0.055643404640622,0.0,0.0,0.0,25.201472,0.031173707131596194,0.00864091076533024,25.201472,0.031173707131596194,0.00864091076533024,2.08e-06,0.0,0.0,0.008483499159326557,0.0,0.0,720.39379,5.289253896740407,1.466106380738585,0.720386,0.005289574266268258,0.0014661951826411117,0.360202,0.0026367489258477357,0.0007308695139352854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915816,0.0037147999644005242,0.0010296900162670292,1.0,0.0,0.0,99.8134,0.0,0.0,,,,,,,,,,1.2576,0.06056064594053386,0.01678655461969491,,,,1.0,
基站退服,智能决策抗扰,50,23.08071,0.03941410837219974,0.010925033455326333,8.55466,0.6937674023557381,0.192302512830592,22.958116,0.04496322016211636,0.012463168769201541,23.45616,0.08163470900472257,0.022627986876432495,23.069166,0.039415958696954155,0.010925546339181382,2.566413214530921e-06,6.904045870909098e-07,1.91370387995358e-07,0.009640547002691138,0.0012531082288723533,0.00034734387986895163,399.64327599999996,2.512406731708601,0.6964036161392341,0.39964599999999995,0.0025038101577640553,0.0006940207674126193,0.199818,0.0012606590437107886,0.00034943685896024235,15.0,0.0,0.0,14.560684000000002,0.6832239942137484,0.18938002919613678,39.306599999999996,85.1307851607257,23.597049746154624,1.0,0.0,0.0,1.0,0.0,0.0,8.74,0.44308749769345207,0.12281758831698332,0.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0077,0.0,0.0,0.0102,0.0,0.0,0.53781,0.00437358723545357,0.0012122965313816566,1.0,0.0,0.0,98.92252200000001,0.027574517147510965,0.007643266200676298,0.24,0.0,0.0,240.0,0.0,0.0,0.6,0.0,0.0,1.236,0.05554920598635314,0.015397454335051637,,,,1.0,
救援拥塞,受干扰无抗扰,50,19.576258,0.05444573441435412,0.015091587620340059,15.664100000000001,0.3755177785948574,0.10408821773860863,17.812668,0.05731817904451942,0.015887788650356584,24.977242,0.09936319913759396,0.027542073628948144,18.445501999999998,0.054448974391120654,0.01509248569608072,1e-06,0.0,0.0,0.004087624873274853,0.0,0.0,492.748972,3.768161418616646,1.0444810567500655,0.492744,0.003765696943380833,0.001043797939066752,0.24638200000000002,0.001885680735632278,0.000522684033044821,7.2,0.0,0.0,3.912158,0.37658609991472014,0.104384341300515,5.107,0.2269428589413859,0.06290535112373191,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7537999999999999,1.1214946133455537e-16,3.1086244689504386e-17,1.0,0.0,0.0,0.7532080000000001,0.001792824700901703,0.0004969456533666445,1.0,0.0,0.0,63.60240000000001,7.177565525411544e-15,1.9895196601282807e-15,,,,,,,,,,1.1712,0.05177029327042795,0.014349993170730069,,,,1.0,
救援拥塞,无干扰基线,50,26.202883999999997,0.03415096353258681,0.009466164135995075,24.57786,0.19632428504379973,0.054418315440300014,0.0,0.0,0.0,26.202883999999997,0.03415096353258681,0.009466164135995075,26.202883999999997,0.03415096353258681,0.009466164135995075,2.08e-06,0.0,0.0,0.008483499159326557,0.0,0.0,1078.1715140000001,7.903892682387458,2.1908472764868656,1.078172,0.007911140169122914,0.0021928561773176085,0.539088,0.003951214744756815,0.0010952208500571922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915956,0.004548924968313606,0.0012608976713437137,1.0,0.0,0.0,99.8134,0.0,0.0,,,,,,,,,,1.1592,0.06233025930067827,0.017277066417653187,,,,1.0,
救援拥塞,智能决策抗扰,50,24.166942,0.0511726612677561,0.014184338031166671,17.539839999999998,0.6463841140197853,0.17916853538766228,24.069504000000002,0.05552157866955119,0.01538979643353343,24.465352,0.10479922542165852,0.029048863239830927,24.1554,0.05117135279566834,0.014183975341208062,1.9678461538461538e-06,0.0,0.0,0.008027004521928881,0.0,0.0,590.7893740000001,4.8194035150780765,1.3358704994601085,0.590788,0.004819375859327584,0.0013358628336771732,0.295392,0.0024198869934822374,0.0006707584530961954,7.2,0.0,0.0,6.577780000000001,0.6860113448814986,0.19015264338315152,6.494199999999999,0.7681626369036011,0.212923819766601,1.0,0.0,0.0,1.0,0.0,0.0,5.14,3.6478117566898787,1.0111218324217908,0.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0077,0.0,0.0,0.0102,0.0,0.0,0.752802,0.0019888967303713003,0.0005512940471291171,1.0,0.0,0.0,98.958,0.0,0.0,0.24,0.0,0.0,240.0,0.0,0.0,0.6,0.0,0.0,1.1592,0.06233025930067827,0.017277066417653187,,,,1.0,
无人机压测,受干扰无抗扰,50,10.208136,0.04773996639961883,0.013232843558117055,3.9042399999999997,0.29623257272429904,0.08211147990482205,5.998242,0.05436758521811485,0.015069925768310871,25.977396,0.09381155439910115,0.026003236217548003,9.024208,0.047740261705976235,0.01323292541286317,0.00232816437487945,0.0001140825199380664,3.162206119751806e-05,0.777127887124601,0.003551858334959534,0.0009845249008698276,361.699306,4.358730130060584,1.2081783518725608,0.3617,0.00435964799178155,0.0012084327701614185,0.180842,0.002181376648273437,0.0006046467583639229,20.0,0.0,0.0,6.303896,0.29029589054154065,0.08046591555898436,5478.2148,837.6487209438923,232.18437960601236,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7893000000000001,1.1214946133455537e-16,3.1086244689504386e-17,1.0,0.0,0.0,0.702298,0.0031958831936970203,0.0008858536258321672,1.0,0.0,0.0,46.063905999999996,0.07814072707987442,0.021659504497970383,,,,,,,,,,0.9216,0.06152351466831896,0.017053448214364157,,,,1.0,
无人机压测,无干扰基线,50,27.199504,0.03621973168406011,0.010039597411530014,25.58402,0.21044854817406433,0.05833336143785992,0.0,0.0,0.0,27.199504,0.03621973168406011,0.010039597411530014,27.199504,0.03621973168406011,0.010039597411530014,2.08e-06,0.0,0.0,0.008483499159326557,0.0,0.0,1666.980064,10.967589499804799,3.04006070816428,1.666984,0.010971807285130407,0.0030412298186095685,0.8334820000000001,0.005487153457050792,0.0015209613402055943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160240000000001,0.004219515399199487,0.0011695899972212474,1.0,0.0,0.0,99.8134,0.0,0.0,,,,,,,,,,0.9168,0.06753502492660186,0.018719753844535454,,,,1.0,
无人机压测,智能决策抗扰,50,25.846456,0.043787903277839206,0.012137387549946695,5.4626,0.515266881512555,0.14282469276704218,25.8116,0.04781439028542923,0.013253472806777857,25.977017999999997,0.09335805047104986,0.025877531342042643,25.835744,0.0437908440714473,0.012138202696346818,2.282746058818057e-05,8.822217940794815e-06,2.44539405136832e-06,0.011098535693411571,0.00020332892953925217,5.6359903836333915e-05,894.49704,7.056088952392952,1.955848071981875,0.894494,0.007057790889853416,0.0019563198249774993,0.447258,0.0035221798676967307,0.0009762984494507812,20.0,0.0,0.0,20.503510000000002,0.5147870914172147,0.14269170173769738,3002.4972,553.2970507711025,153.3661178714195,1.0,0.0,0.0,1.0,0.0,0.0,4.38,3.521884931309902,0.9762166972552763,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0071,0.0,0.0,0.009,0.0,0.0,0.703324,0.003670431215282812,0.0010173916264644607,1.0,0.0,0.0,98.898678,0.004478396670092134,0.0012413482244720373,0.24,0.0,0.0,240.0,0.0,0.0,0.6,0.0,0.0,0.9239999999999999,0.05554920598635309,0.015397454335051622,,,,1.0,
